Processing...
Done!
Binary class counts: Counter({0: 2108, 1: 2092})
Epoch 247/300, Train Acc: 0.8920, Test Acc: 0.8238
Epoch 248/300, Train Acc: 0.8923, Test Acc: 0.8345
Epoch 249/300, Train Acc: 0.8896, Test Acc: 0.8429
Epoch 250/300, Train Acc: 0.8976, Test Acc: 0.8357
Epoch 251/300, Train Acc: 0.8940, Test Acc: 0.8155
Epoch 252/300, Train Acc: 0.8955, Test Acc: 0.8357
Epoch 253/300, Train Acc: 0.8949, Test Acc: 0.8298
Epoch 254/300, Train Acc: 0.8872, Test Acc: 0.8321
Epoch 255/300, Train Acc: 0.8911, Test Acc: 0.8405
Epoch 256/300, Train Acc: 0.8887, Test Acc: 0.8369
Epoch 257/300, Train Acc: 0.8872, Test Acc: 0.8429
Epoch 258/300, Train Acc: 0.8938, Test Acc: 0.8298
Epoch 259/300, Train Acc: 0.8872, Test Acc: 0.8357
Epoch 260/300, Train Acc: 0.8929, Test Acc: 0.8286
Epoch 261/300, Train Acc: 0.8961, Test Acc: 0.8250
Epoch 262/300, Train Acc: 0.8979, Test Acc: 0.8345
Early stopping triggered.

📘 Final Classification Metrics
----------------------------------------
Train Accuracy : 0.9128
Train Precision: 0.8784
Train Recall   : 0.9561
Train F1 Score : 0.9156
Train Loss     : 0.2552
----------------------------------------
Test Accuracy  : 0.8405
Test Precision : 0.8364
Test Recall    : 0.8558
Test F1 Score  : 0.8460
Test Loss      : 0.3965
----------------------------------------
Execution time : 2.16 minutes
📁 Metrics and plots saved in 'plots/' folder
